id,model,storage,base_price,created_at
1,iPhone X,128GB,150,2025-08-12 12:42:34
2,iPhone X,256GB,200,2025-08-12 12:42:34
3,iPhone 11,64GB,200,2025-08-12 12:42:34
4,iPhone 11,128GB,250,2025-08-12 12:42:35
5,iPhone 11,256GB,250,2025-08-12 12:42:35
6,iPhone 11 Pro,128GB,250,2025-08-12 12:42:35
7,iPhone 11 Pro,256GB,300,2025-08-12 12:42:35
8,iPhone 11 Pro,512GB,350,2025-08-12 12:42:35
9,iPhone 11 Pro Max,128GB,300,2025-08-12 12:42:35
10,iPhone 11 Pro Max,256GB,350,2025-08-12 12:42:35
11,iPhone 11 Pro Max,512GB,400,2025-08-12 12:42:35
12,iPhone 12,128GB,350,2025-08-12 12:42:35
13,iPhone 12,256GB,350,2025-08-12 12:42:35
14,iPhone 12,512GB,400,2025-08-12 12:42:35
15,iPhone 12 Mini,128GB,300,2025-08-12 12:42:35
16,iPhone 12 Mini,256GB,350,2025-08-12 12:42:35
17,iPhone 12 Mini,512GB,350,2025-08-12 12:42:35
18,iPhone 12 Pro,128GB,400,2025-08-12 12:42:35
19,iPhone 12 Pro,256GB,450,2025-08-12 12:42:35
20,iPhone 12 Pro,512GB,500,2025-08-12 12:42:35
21,iPhone 12 Pro Max,128GB,450,2025-08-12 12:42:35
22,iPhone 12 Pro Max,256GB,500,2025-08-12 12:42:35
23,iPhone 12 Pro Max,512GB,550,2025-08-12 12:42:35
24,iPhone 13,128GB,450,2025-08-12 12:42:35
25,iPhone 13,256GB,500,2025-08-12 12:42:35
26,iPhone 13,512GB,550,2025-08-12 12:42:35
27,iPhone 13 Mini,128GB,400,2025-08-12 12:42:35
28,iPhone 13 Mini,256GB,450,2025-08-12 12:42:35
29,iPhone 13 Mini,512GB,500,2025-08-12 12:42:35
30,iPhone 13 Pro,128GB,550,2025-08-12 12:42:35
31,iPhone 13 Pro,256GB,600,2025-08-12 12:42:35
32,iPhone 13 Pro,512GB,650,2025-08-12 12:42:35
33,iPhone 13 Pro,1TB,700,2025-08-12 12:42:35
34,iPhone 13 Pro Max,128GB,600,2025-08-12 12:42:35
35,iPhone 13 Pro Max,256GB,650,2025-08-12 12:42:35
36,iPhone 13 Pro Max,512GB,700,2025-08-12 12:42:35
37,iPhone 13 Pro Max,1TB,700,2025-08-12 12:42:35
38,iPhone 14,128GB,600,2025-08-12 12:42:35
39,iPhone 14,256GB,650,2025-08-12 12:42:35
40,iPhone 14,512GB,700,2025-08-12 12:42:35
41,iPhone 14 Plus,128GB,650,2025-08-12 12:42:35
42,iPhone 14 Plus,256GB,700,2025-08-12 12:42:35
43,iPhone 14 Plus,512GB,750,2025-08-12 12:42:35
44,iPhone 14 Pro,128GB,750,2025-08-12 12:42:35
45,iPhone 14 Pro,256GB,800,2025-08-12 12:42:35
46,iPhone 14 Pro,512GB,850,2025-08-12 12:42:35
47,iPhone 14 Pro,1TB,900,2025-08-12 12:42:35
48,iPhone 14 Pro Max,128GB,850,2025-08-12 12:42:35
49,iPhone 14 Pro Max,256GB,850,2025-08-12 12:42:35
50,iPhone 14 Pro Max,512GB,900,2025-08-12 12:42:35
51,iPhone 14 Pro Max,1TB,950,2025-08-12 12:42:35
52,iPhone 15,128GB,850,2025-08-12 12:42:35
53,iPhone 15,256GB,850,2025-08-12 12:42:35
54,iPhone 15,512GB,900,2025-08-12 12:42:35
55,iPhone 15 Plus,128GB,900,2025-08-12 12:42:35
56,iPhone 15 Plus,256GB,950,2025-08-12 12:42:35
57,iPhone 15 Plus,512GB,1000,2025-08-12 12:42:35
58,iPhone 15 Pro,128GB,1050,2025-08-12 12:42:35
59,iPhone 15 Pro,256GB,1050,2025-08-12 12:42:35
60,iPhone 15 Pro,512GB,1100,2025-08-12 12:42:35
61,iPhone 15 Pro,1TB,1150,2025-08-12 12:42:35
62,iPhone 15 Pro Max,128GB,1150,2025-08-12 12:42:35
63,iPhone 15 Pro Max,256GB,1150,2025-08-12 12:42:35
64,iPhone 15 Pro Max,512GB,1200,2025-08-12 12:42:35
65,iPhone 15 Pro Max,1TB,1250,2025-08-12 12:42:35
66,iPhone 16,128GB,950,2025-08-12 12:42:35
67,iPhone 16,256GB,1000,2025-08-12 12:42:35
68,iPhone 16,512GB,1050,2025-08-12 12:42:35
69,iPhone 16 Plus,128GB,1050,2025-08-12 12:42:35
70,iPhone 16 Plus,256GB,1050,2025-08-12 12:42:35
71,iPhone 16 Plus,512GB,1100,2025-08-12 12:42:35
72,iPhone 16 Pro,128GB,1200,2025-08-12 12:42:35
73,iPhone 16 Pro,256GB,1200,2025-08-12 12:42:35
74,iPhone 16 Pro,512GB,1250,2025-08-12 12:42:35
75,iPhone 16 Pro,1TB,1300,2025-08-12 12:42:35
76,iPhone 16 Pro Max,128GB,1300,2025-08-12 12:42:35
77,iPhone 16 Pro Max,256GB,1300,2025-08-12 12:42:35
78,iPhone 16 Pro Max,512GB,1350,2025-08-12 12:42:35
79,iPhone 16 Pro Max,1TB,1400,2025-08-12 12:42:35
